Louisiana State Fighting Tigers,150,Aaron Epps\aaron-epps-1,21,SR,F,6-9,203,Ball LA,Tioga HS,9.5,5.5,0.4
Louisiana State Fighting Tigers,150,Daryl Edwards\daryl-edwards-1,5,JR,G,6-3,165,FRESNO CA,Fresno Central High School,6.8,1.7,1.3
Louisiana State Fighting Tigers,150,Brandon Sampson\brandon-sampson-1,0,JR,G,6-5,175,Baton Rouge LA,Madison Prep HS,7.7,2.6,0.8
Louisiana State Fighting Tigers,150,Wayde Sims\wayde-sims-1,44,SO,F,6-6,222,Baton Rouge LA,Louisiana State University Laboratory School,5.6,2.9,0.4
Louisiana State Fighting Tigers,150,Randy Onwuasor\randy-onwuasor-1,14,SR,G,6-3,190,Inglewood CA,Inglewood,4.6,2.1,0.8
Louisiana State Fighting Tigers,150,Brandon Rachal\brandon-rachal-1,2,FR,G,6-5,215,Natchitoches LA,Natchitoches Central High School,4.4,3.3,0.7
Louisiana State Fighting Tigers,150,Jeremy Combs\jeremy-combs-1,13,SR,F,6-7,182,Dallas TX,Carter HS,3,2,0.7
Louisiana State Fighting Tigers,150,Marshall Graves\marshall-graves-1,12,SO,G,6-3,190,Ponchatoula LA,Louisiana State University Laboratory School,1.3,0.4,0.6
Louisiana State Fighting Tigers,150,Galen Alexander\galen-alexander-1,10,FR,F,6-6,210,Breaux Bridge LA,Lafayette Christian Academy,1.9,2.1,0.1
Louisiana State Fighting Tigers,150,Mayan Kiir\mayan-kiir-1,35,FR,F,6-9,201,Bradenton FL,Victory Rock Prep,1.9,2,0.3
Louisiana State Fighting Tigers,150,Reed Vial\reed-vial-1,15,JR,G,6-3,190,Baton Rouge LA,Parkview Baptist High School,0.5,0.2,0
Louisiana State Fighting Tigers,150,Kavell Bigby-Williams\kavell-bigby-williams-1,11,,F,6-11,230,,Harris Academy Beckenham,,,
Mississippi Rebels,177,Terence Davis\terence-davis-1,3,JR,G,6-4,190,Southaven MS,Southaven HS,13.8,6.2,2.1
Mississippi Rebels,177,Deandre Burnett\deandre-burnett-1,1,SR,G,6-2,195,Miami Gardens FL,Carol City,13.5,2,3.9
Mississippi Rebels,177,Breein Tyree\breein-tyree-1,4,SO,G,6-2,190,Somerset NJ,St. Joseph High School,10.8,2.2,2.8
Mississippi Rebels,177,Bruce Stevens\bruce-stevens-1,12,JR,F,6-8,252,Louin MS,Bay Springs High School,10.8,5.3,1.2
Mississippi Rebels,177,Markel Crawford\markel-crawford-1,5,SR,G,6-4,197,Memphis TN,Melrose HS,9.2,4,2.1
Mississippi Rebels,177,Devontae Shuler\devontae-shuler-1,0,FR,G,6-2,192,Irmo SC,Oak Hill Academy,6,2.7,1.1
Mississippi Rebels,177,Marcanvis Hymon\marcanvis-hymon-1,2,SR,F,6-6,207,Memphis TN,Whitehaven HS,4.4,5,0.8
Mississippi Rebels,177,Dominik Olejniczak\dominik-olejniczak-1,13,SO,C,7-0,249,Poland,SMS Cetniewo Sports Academy,4.3,2.6,0.4
Mississippi Rebels,177,Justas Furmanavicius\justas-furmanavicius-1,50,SR,F,6-6,200,Lithuania,Three Rivers Community College (JC),3.2,3,0.4
Mississippi Rebels,177,D.C. Davis\dc-davis-1,20,,G,5-11,175,,Purvis High School,1,0.2,0.2
Mississippi Rebels,177,Lane Below\lane-below-1,24,,G,6-1,190,Advance MO,Advance High School,0,0,0
